INFO  - 2024-01-30 21:46:58.704; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 21:46:58.708; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 21:47:34.292; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 21:47:34.294; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-30 21:48:17.630; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 21:48:17.639; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 21:48:57.355; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-30 21:48:59.584; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 357
INFO  - 2024-01-30 21:48:59.586; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:357
INFO  - 2024-01-30 21:49:01.219; com.flipkart.pageObjects.FlipkartAddCartPage; open link url :https://www.flipkart.com/#
INFO  - 2024-01-30 21:49:02.052; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 21:49:02.055; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-30 23:30:43.811; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 23:30:43.868; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 23:31:23.174; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 23:31:23.176; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 10:52:01.098; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-02-01 10:52:01.110; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-02-01 10:52:32.203; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-02-01 10:52:32.917; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 346
INFO  - 2024-02-01 10:52:32.918; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:346
INFO  - 2024-02-01 10:52:33.038; com.flipkart.pageObjects.FlipkartAddCartPage; open link url :https://www.flipkart.com/#
INFO  - 2024-02-01 10:52:33.983; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 10:52:33.984; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 11:17:32.456; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-02-01 11:17:32.479; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-02-01 11:18:08.484; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-02-01 11:18:09.586; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 371
INFO  - 2024-02-01 11:18:09.587; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:371
INFO  - 2024-02-01 11:18:11.078; com.flipkart.pageObjects.FlipkartAddCartPage; open link url :https://www.flipkart.com/#
INFO  - 2024-02-01 11:18:11.615; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 11:18:11.620; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:12:57.150; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-02-01 13:12:57.157; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-02-01 13:14:10.847; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Mobile Phones Online at Best Prices in India
INFO  - 2024-02-01 13:14:11.761; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 146
INFO  - 2024-02-01 13:14:11.772; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:14:11.774; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:14:50.921; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:14:50.923; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:15:21.550; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:15:21.554; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:15:52.070; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:15:52.082; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:27.333; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:27.346; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:45.881; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:45.884; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:46.249; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:46.250; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:46.330; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:46.330; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:46.410; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:46.410; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:46.447; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:46.448; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:46.507; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:46.507; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:46.546; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-02-01 13:16:46.548; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-02-01 13:16:46.592; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
